ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
45813960.0,549.0,891,MERCEDES-BENZ,CLA 250,2021,Sedan,Yes,Petrol,2,718400 km,4,Automatic,Front,4-May,Left wheel,White,12.0
45730073.0,41281.0,730,SSANGYONG,Actyon,1987,Jeep,Yes,Diesel,1.6,10573 km,4,Automatic,Front,4-May,Left wheel,Blue,4.0
45787895.0,15681.0,-,MERCEDES-BENZ,ML 350,2008,Jeep,Yes,LPG,3.5,386300 km,6,Tiptronic,4x4,4-May,Left wheel,Silver,12.0
45731438.0,36899.0,777,HYUNDAI,H1,1990,Minivan,Yes,Diesel,2.5,15200 km,4,Automatic,Front,4-May,Left wheel,Silver,4.0
45797083.0,15289.0,836,HYUNDAI,Genesis,2007,Coupe,Yes,Petrol,2,476100 km,4,Automatic,Front,4-May,Left wheel,Red,4.0
45733076.0,8467.0,639,HYUNDAI,Sonata,2018,Sedan,Yes,LPG,2,616600 km,4,Automatic,Front,4-May,Left wheel,Orange,4.0
45811124.0,14426.0,1399,LEXUS,RX 450,2008,Jeep,Yes,Hybrid,3.5,58506 km,6,Automatic,4x4,4-May,Left wheel,Grey,0.0
45806021.0,13000.0,-,MERCEDES-BENZ,E 500,2010,Sedan,Yes,Petrol,5,412400 km,8,Tiptronic,Rear,4-May,Left wheel,Black,12.0
45802797.0,25810.0,697,HYUNDAI,Santa FE,2001,Jeep,Yes,Diesel,2.2,176800 km,4,Automatic,Front,4-May,Left wheel,Black,4.0
45656196.0,37006.0,-,BMW,320 Diesel,1992,Sedan,Yes,Diesel,2.0 Turbo,204000 km,4,Tiptronic,Rear,4-May,Left wheel,Blue,8.0
45789646.0,7213.0,-,MERCEDES-BENZ,C 280,2018,Universal,No,Petrol,2.8,637100 km,6,Automatic,Rear,4-May,Left wheel,Silver,8.0
45786743.0,12544.0,928,OPEL,Astra,2012,Universal,No,Petrol,1.4,557200 km,4,Manual,Front,4-May,Left wheel,Silver,7.0
45789981.0,4701.0,1282,KIA,Sportage,2018,Jeep,Yes,Diesel,2,519400 km,4,Automatic,Front,4-May,Left wheel,Silver,4.0
45290545.0,21326.0,975,VOLVO,XC90 3.2 AWD,2003,Jeep,Yes,Petrol,3.2,375800 km,6,Tiptronic,4x4,4-May,Left wheel,White,10.0
45769662.0,100.0,-,MERCEDES-BENZ,ML 350,2021,Jeep,Yes,Petrol,3.5,634300 km,6,Automatic,4x4,4-May,Left wheel,Silver,8.0
45748586.0,30.0,-,NISSAN,Tiida,2005,Hatchback,No,Petrol,1.8,0 km,4,Automatic,Front,4-May,Right-hand drive,Beige,4.0
45809301.0,4861.0,697,TOYOTA,Corolla,2020,Sedan,Yes,Petrol,1.8,219910 km,4,Automatic,Front,4-May,Left wheel,White,12.0
45772945.0,706.0,1296,TOYOTA,4Runner,2019,Jeep,Yes,Petrol,2.4,647100 km,4,Automatic,Front,4-May,Left wheel,Silver,12.0
45798376.0,200.0,-,TOYOTA,Land Cruiser 105,2022,Jeep,Yes,Diesel,4.2,607300 km,8,Manual,4x4,4-May,Left wheel,Silver,2.0
45794164.0,6272.0,-,MERCEDES-BENZ,CLK 230,2015,Coupe,No,Petrol,2.3,587400 km,4,Manual,Rear,2-Mar,Left wheel,Black,2.0
45732698.0,15681.0,891,HYUNDAI,Sonata,2009,Sedan,Yes,LPG,2,436000 km,4,Automatic,Front,4-May,Left wheel,Silver,4.0
